draw,district,total_pop,chain,pop_overlap,total_vap,plan_dev,comp_edge,comp_polsby,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_20_rep_tru,pre_20_dem_bid,adv_20,arv_20,county_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
28,1,899549, 1,0.8994,717068,0.003000475,0.920,0.19083,808112,35558,11380,1640, 6442,148,2197,34072,651099,28166, 7844,1436,5256,114,1337,21816,273161,114277,114277,273161,0,114277,273161,0.2950,0.2950,0,0,0,0.104
28,2,894167, 1,0.8994,715864,0.003000475,0.920,0.13795,790722,29191,23447,1547, 8461,281,2455,38063,641941,23836,15639,1325,6977,219,1644,24283,272221,121707,121707,272221,0,121707,272221,0.3090,0.3090,0,0,0,0.104
29,1,899234, 1,0.9078,716792,0.002649249,0.952,0.25566,806594,36166,11689,1621, 6533,148,2266,34217,650009,28669, 8063,1414,5343,113,1366,21815,272835,115905,115905,272835,0,115905,272835,0.2982,0.2982,0,0,0,0.104
29,2,894482, 1,0.9078,716140,0.002649249,0.952,0.18018,792240,28583,23138,1566, 8370,281,2386,37918,643031,23333,15420,1347,6890,220,1615,24284,272547,120079,120079,272547,0,120079,272547,0.3058,0.3058,0,0,0,0.104
30,1,894040, 1,0.9049,712681,0.003142080,0.948,0.24265,801595,36160,11667,1617, 6533,144,2258,34066,646032,28669, 8050,1412,5343,109,1358,21708,270701,115439,115439,270701,0,115439,270701,0.2990,0.2990,0,0,0,0.104
30,2,899676, 1,0.9049,720251,0.003142080,0.948,0.17931,797239,28589,23160,1570, 8370,285,2394,38069,647008,23333,15433,1349,6890,224,1623,24391,274681,120545,120545,274681,0,120545,274681,0.3050,0.3050,0,0,0,0.104
31,1,900863, 1,0.8525,720994,0.004465590,0.904,0.25384,807599,37170,12168,1691, 6082,178,2173,33802,652906,29825, 8496,1470,5019,138,1351,21789,271467,113786,113786,271467,0,113786,271467,0.2954,0.2954,0,0,0,0.104
31,2,892853, 1,0.8525,711938,0.004465590,0.904,0.09183,791235,27579,22659,1496, 8821,251,2479,38333,640134,22177,14987,1291,7214,195,1630,24310,273915,122198,122198,273915,0,122198,273915,0.3085,0.3085,0,0,0,0.104
32,1,892391, 1,0.8680,711884,0.004980722,0.944,0.24392,803227,34567,11189,1580, 6396,169,2093,33170,647372,27477, 7716,1403,5229,135,1290,21262,272878,111236,111236,272878,0,111236,272878,0.2896,0.2896,0,0,0,0.104
32,2,901325, 1,0.8680,721048,0.004980722,0.944,0.12100,795607,30182,23638,1607, 8507,260,2559,38965,645668,24525,15767,1358,7004,198,1691,24837,272504,124748,124748,272504,0,124748,272504,0.3140,0.3140,0,0,0,0.104
33,1,892765, 1,0.9042,711389,0.004563710,0.948,0.32042,801808,35367,11297,1625, 6427,152,2166,33923,645778,28003, 7774,1429,5251,118,1323,21713,270164,113340,113340,270164,0,113340,270164,0.2955,0.2955,0,0,0,0.104
33,2,900951, 1,0.9042,721543,0.004563710,0.948,0.14599,797026,29382,23530,1562, 8476,277,2486,38212,647262,23999,15709,1332,6982,215,1658,24386,275218,122644,122644,275218,0,122644,275218,0.3083,0.3083,0,0,0,0.104
