draw,district,total_pop,chain,pop_overlap,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_whi,uss_18_rep_fla,gov_18_dem_rai,gov_18_rep_fun,atg_18_dem_ner,sos_18_dem_gor,sos_18_rep_cor,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_ree,uss_20_rep_wat,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
12,2,545966, 1,0.7304,449359,0.0049636452,0.9810,0.3614, 40573,449963,12728,1886,16425,152,2718,21521, 27798,381291,10169,1469,12900,127,1998,13607,134161,111869,128572,92537,108961,89572,157555,138961,76636,172263,121674,186014,103047,111869,134161,86248,133512,112361,179138,1,2,146642, 99223,0.5964,0.5916,1.0000,2.000,0,-0.25606
13,1,546276, 1,0.7379,434094,0.0043986626,0.9827,0.4558,147677,289441,44345,1675,23451,168,8771,30748,102716,249696,33144,1286,19718,130,6521,20883,119636, 63045,103524,47406, 90075,46394,115888,108329,38907,135721, 71656,142476, 55881, 63045,119636,44236,104454, 63770,139099,1,2,116521, 53881,0.6838,0.6849,1.0000,2.000,0,-0.25606
13,2,551103, 1,0.7379,453500,0.0043986626,0.9827,0.3247, 34424,464609,11041,1838,14916,152,2621,21502, 23272,392739, 8780,1413,11694,125,1932,13545,132890,117497,127953,97015,108047,93539,158462,138947,80385,171765,128266,186097,108974,117497,132890,90312,133352,118620,178930,1,2,146309,104280,0.5839,0.5787,1.0000,2.000,0,-0.25606
14,1,547059, 1,0.6235,436119,0.0029716260,0.9662,0.3073,126727,321481,38839,1467,21681,164,7677,29023, 87754,274877,28816,1099,18302,125,5665,19481,114928, 78481,101467,60349, 85973,60323,119207,107833,50129,133865, 88560,142923, 70753, 78481,114928,56934,103619, 79658,138395,2,3,115171, 68099,0.6284,0.6271,1.0000,2.000,0,-0.25606
14,2,550320, 1,0.6235,451475,0.0029716260,0.9662,0.2377, 55374,432569,16547,2046,16686,156,3715,23227, 38234,367558,13108,1600,13110,130,2788,14947,137597,102061,130010,84071,112149,79610,155144,139443,69164,173621,111362,185651, 94102,102061,137597,77615,134186,102732,179635,2,3,147659, 90062,0.6211,0.6179,1.0000,2.000,0,-0.25606
15,1,547782, 1,0.7415,434610,0.0016539409,0.9792,0.4082,145153,294659,43635,1672,22833,168,8762,30900,100918,252984,32618,1284,19204,131,6518,20953,119588, 63778,103809,48594, 90051,47398,116035,108708,39994,136294, 73128,142531, 58074, 63778,119588,45329,104650, 65602,139413,1,2,116716, 55161,0.6791,0.6801,1.0000,2.000,0,-0.25606
15,2,549597, 1,0.7415,452984,0.0016539409,0.9792,0.3703, 36948,459391,11751,1841,15534,152,2630,21350, 25070,389451, 9306,1415,12208,124,1935,13475,132937,116764,127668,95826,108071,92535,158316,138568,79298,171192,126794,186043,106781,116764,132937,89219,133156,116788,178616,1,2,146114,103000,0.5865,0.5814,1.0000,2.000,0,-0.25606
16,1,547902, 1,0.7336,435395,0.0014352380,0.9810,0.3765,141439,300836,42652,1625,21920,168,8654,30608, 98147,258465,31749,1228,18493,128,6442,20743,117628, 67624,102202,51051, 88641,49538,115881,107567,41908,134299, 77061,141539, 60742, 67624,117628,47500,103572, 68902,137920,1,2,115394, 57987,0.6656,0.6663,1.0000,2.000,0,-0.25606
16,2,549477, 1,0.7336,452199,0.0014352380,0.9810,0.3382, 40662,453214,12734,1888,16447,152,2738,21642, 27841,383970,10175,1471,12919,127,2011,13685,134897,112917,129275,93369,109481,90395,158469,139709,77385,173186,122861,187034,104113,112917,134897,87049,134233,113487,180109,1,2,147436,100174,0.5954,0.5906,1.0000,2.000,0,-0.25606
17,1,548438, 1,0.5870,439165,0.0004583649,0.9649,0.4165,115794,338267,35863,1539,20527,153,7384,28911, 79986,288680,26806,1172,17441,120,5490,19470,114969, 81015,102331,62067, 87257,60644,120216,109198,51370,134775, 91792,144550, 73865, 81015,114969,58028,104750, 82830,139663,2,3,116185, 70126,0.6236,0.6226,1.0000,2.000,0,-0.25606
17,2,548941, 1,0.5870,448429,0.0004583649,0.9649,0.2570, 66307,415783,19523,1974,17840,167,4008,23339, 46002,353755,15118,1527,13971,135,2963,14958,137556, 99527,129147,82353,110865,79289,154134,138078,67922,172711,108130,184023, 90990, 99527,137556,76521,133056, 99560,178366,2,3,146645, 88035,0.6249,0.6214,1.0000,2.000,0,-0.25606
18,1,547006, 1,0.5764,436980,0.0030682198,0.9680,0.4708,121869,329787,37277,1530,23236,146,6564,26597, 84336,281394,27826,1163,19424,110,4890,17837,117238, 81881,104449,63312, 88544,63316,122802,111157,52578,136003, 92692,146025, 74565, 81881,117238,59736,106737, 83630,141014,2,4,118031, 71391,0.6231,0.6217,1.0000,2.000,0,-0.25606
18,2,550373, 1,0.5764,450614,0.0030682198,0.9680,0.2686, 60232,424263,18109,1983,15131,174,4828,25653, 41652,361041,14098,1536,11988,145,3563,16591,135287, 98661,127029,81108,109578,76617,151548,136119,66714,171483,107230,182549, 90290, 98661,135287,74813,131068, 98760,177015,2,4,144799, 86770,0.6253,0.6221,1.0000,2.000,0,-0.25606
19,1,548495, 1,0.7409,435203,0.0003544810,0.9797,0.3990,145257,295157,43678,1672,22851,168,8770,30942,100988,253426,32650,1284,19220,131,6519,20985,119686, 63910,103904,48666, 90126,47482,116150,108800,40068,136443, 73284,142717, 58185, 63910,119686,45406,104745, 65736,139580,1,2,116832, 55265,0.6789,0.6799,1.0000,2.000,0,-0.25606
19,2,548884, 1,0.7409,452391,0.0003544810,0.9797,0.3663, 36844,458893,11708,1841,15516,152,2622,21308, 25000,389009, 9274,1415,12192,124,1934,13443,132839,116632,127573,95754,107996,92451,158201,138476,79224,171043,126638,185857,106670,116632,132839,89143,133061,116654,178449,1,2,145998,102896,0.5866,0.5814,1.0000,2.000,0,-0.25606
