draw,district,total_pop,chain,pop_overlap,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_cra,uss_16_dem_stu,gov_18_rep_lit,gov_18_dem_jor,atg_18_rep_was,atg_18_dem_bis,sos_18_rep_den,sos_18_dem_hum,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_ris,uss_20_dem_jor,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
3964,2,923028, 2,0.8778,681979,0.003779010,0.9872,0.3802,133697,716379, 8879, 9898,14583,1844,3657,34091, 85366,546111,6040, 7253,11612,1311,2602,21684,190470, 93123,214848, 93621,166317,114331,178875,100703,171022,110422,258181,140900,249630,141288,202658, 93372,172073,108486,253906,141095,1,3,113484,204192,0.3572,0.3580,0,0,0,0.1884
3965,1,915666, 2,0.7143,708979,0.004227054,0.9942,0.2300, 68789,760252, 9006, 9117,17048,1592,4771,45091, 45182,603437,5807, 6803,13609,1186,3557,29398,207825,121001,226209,117525,189395,146056,201681,128809,193199,140261,281439,183413,276616,180701,217017,119264,194760,138375,279028,182057,1,1,145395,225194,0.3923,0.3922,0,0,0,0.1884
3965,2,923440, 2,0.7143,667421,0.004227054,0.9942,0.3067,170618,690271, 5779, 9786, 8988,1809,3472,32717,106518,518029,4139, 7132, 7399,1256,2370,20578,201230, 68765,222807, 70723,172265, 85026,183108, 74474,177454, 81775,272679,103607,261829,105163,212018, 69744,177610, 80425,267254,104385,1,1, 84219,213053,0.2833,0.2847,0,0,0,0.1884
3966,1,915871, 2,0.7144,709282,0.004004119,0.9940,0.2232, 66560,762624, 9053, 9055,17136,1614,4778,45051, 43852,605086,5834, 6761,13680,1196,3564,29309,207745,121334,226220,117732,190818,146690,203129,129319,194522,140901,283968,184820,279504,181826,216983,119533,196158,138970,281736,183323,1,1,146089,226557,0.3920,0.3919,0,0,0,0.1884
3966,2,923235, 2,0.7144,667118,0.004004119,0.9940,0.2818,172847,687899, 5732, 9848, 8900,1787,3465,32757,107848,516380,4112, 7174, 7328,1246,2363,20667,201310, 68432,222796, 70517,170842, 84392,181660, 73963,176131, 81135,270150,102200,258941,104037,212053, 69474,176212, 79830,264546,103120,1,1, 83525,211690,0.2829,0.2844,0,0,0,0.1884
3967,1,922564, 2,0.7048,714953,0.003274417,0.9922,0.2163, 66414,769260, 9056, 9106,17128,1617,4806,45177, 43733,610699,5838, 6809,13677,1199,3589,29409,210828,122048,229239,118412,193214,147548,205668,130092,197067,141668,287220,185757,282630,182729,220034,120231,198651,139769,284925,184243,1,0,146894,229409,0.3904,0.3902,0,0,0,0.1884
3967,2,916542, 2,0.7048,661447,0.003274417,0.9922,0.3113,172993,681263, 5729, 9797, 8908,1784,3437,32631,107967,510767,4108, 7126, 7331,1243,2338,20567,198226, 67718,219777, 69836,168446, 83534,179121, 73191,173586, 80368,266898,101263,255814,103134,209001, 68777,173719, 79031,261357,102199,1,0, 82720,208839,0.2837,0.2852,0,0,0,0.1884
3968,1,919044, 2,0.7162,711545,0.000553530,0.9944,0.2395, 66868,765266, 9059, 9066,17155,1616,4793,45221, 44039,607001,5840, 6772,13691,1198,3579,29425,208655,121472,227111,117884,191597,146883,203948,129481,195340,141074,285220,184984,280685,182033,217884,119679,196963,139146,282952,183509,1,1,146259,227507,0.3913,0.3912,0,0,0,0.1884
3968,2,920062, 2,0.7162,664855,0.000553530,0.9944,0.2969,172539,685257, 5726, 9837, 8881,1785,3450,32587,107661,514465,4106, 7163, 7317,1244,2348,20551,200399, 68294,221905, 70364,170063, 84199,180842, 73801,175314, 80962,268898,102036,257760,103830,211152, 69329,175407, 79654,263330,102934,1,1, 83355,210740,0.2834,0.2849,0,0,0,0.1884
3969,1,917344, 2,0.7428,689288,0.002402254,0.9906,0.1722,143432,704948, 4775, 9625, 8417,1441,4331,40375, 89996,551282,3276, 7110, 6933,1006,3107,26578,217620, 83267,231534, 82247,185331, 98181,194838, 87113,190273, 93886,287885,119811,277522,120281,224577, 82758,190148, 93059,282704,120045,1,1, 97827,226428,0.3017,0.3030,0,0,0,0.1884
