draw,district,total_pop,chain,pop_overlap,total_vap,plan_dev,comp_edge,comp_polsby,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,gov_18_dem_mil,gov_18_rep_moo,uss_18_dem_rin,uss_18_rep_bra,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_gid,uss_20_rep_col,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
31,1,684054, 1,0.8066,555978,0.004219886,0.9810,0.11853,605451,20594,15299,1773,10931,219,2418,27369,502712,13094,10265,1442,8701,173,1816,17775,198944,151210,176691,128065,38790,101170,249953,159822,203503,190333,151210,198944,114618,107741,175078,226728,1,1,173576,146120,0.5429,0.5104,0.8,0.8,0, 0.00347981
31,2,678305, 1,0.8066,554107,0.004219886,0.9810,0.08842,622813, 4521,11310,5520, 5737,188,2012,26204,514792, 3457, 7391,4161,4635,159,1549,17963,158588,184276,144034,144348,26403,122145,185093,200851,143569,227191,184276,158588,133247, 85219,214021,164331,1,1,131537,175762,0.4280,0.4013,0.0,0.8,0, 0.00347981
32,1,679204, 1,0.7493,551270,0.002900117,0.9872,0.15679,601387,20478,15054,1776,10755,218,2357,27179,498608,12981,10056,1461,8568,172,1771,17653,193988,152085,171335,128378,38201,101945,243042,161002,197771,190824,152085,193988,115162,104768,175913,220407,1,1,168867,146847,0.5349,0.5030,0.8,1.0,0,-0.08977109
32,2,683155, 1,0.7493,558815,0.002900117,0.9872,0.09153,626877, 4637,11555,5517, 5913,189,2073,26394,518896, 3570, 7600,4142,4768,160,1594,18085,163544,183401,149390,144035,26992,121370,192004,199671,149301,226700,183401,163544,132703, 88191,213186,170653,1,1,136246,175035,0.4377,0.4099,0.2,1.0,0,-0.08977109
33,1,683957, 1,0.7528,555077,0.004077486,0.9881,0.15789,605512,20579,15195,1802,10839,220,2383,27427,502029,13044,10137,1481,8626,174,1785,17801,195559,152796,172823,128965,38417,102410,244953,161728,199383,191742,152796,195559,115688,105620,176735,222168,0,0,170227,147528,0.5357,0.5038,0.8,1.0,0,-0.09175502
33,2,678402, 1,0.7528,555008,0.004077486,0.9881,0.09157,622752, 4536,11414,5491, 5829,187,2047,26146,515475, 3507, 7519,4122,4710,158,1580,17937,161973,182690,147902,143448,26776,120905,190093,198945,147689,225782,182690,161973,132177, 87339,212364,168891,0,0,134887,174354,0.4362,0.4086,0.2,1.0,0,-0.09175502
34,1,678086, 1,0.8333,552623,0.004541387,0.9705,0.04205,600590,20641,15064,1828,10795,219,2405,26544,499767,13192,10224,1502,8610,179,1819,17330,202479,147982,181445,125291,39005, 99305,253072,155918,206152,186594,147982,202479,112298,110225,171256,229612,1,1,176431,143018,0.5523,0.5190,0.8,0.8,0, 0.00320574
34,2,684273, 1,0.8333,557462,0.004541387,0.9705,0.10983,627674, 4474,11545,5465, 5873,188,2025,27029,517737, 3359, 7432,4101,4726,153,1546,18408,155053,187504,139280,147122,26188,124010,181974,204755,140920,230930,187504,155053,135566, 82734,217843,161447,1,1,128683,178864,0.4184,0.3926,0.0,0.8,0, 0.00320574
35,1,677889, 1,0.7051,549589,0.004830592,0.9886,0.21667,601242,20311,14566,1781,10494,234,2333,26928,497830,12823, 9651,1482,8300,178,1779,17546,189221,154095,167226,129464,37926,103076,236512,163641,191697,193009,154095,189221,116270,102576,178325,214105,1,0,164516,148657,0.5253,0.4946,0.6,1.0,0,-0.08577391
35,2,684470, 1,0.7051,560496,0.004830592,0.9886,0.08213,627022, 4804,12043,5512, 6174,173,2097,26645,519674, 3728, 8005,4121,5036,154,1586,18192,168311,181391,153499,142949,27267,120239,198534,197032,155375,224515,181391,168311,131594, 90383,210774,176955,1,0,140597,173225,0.4480,0.4190,0.4,1.0,0,-0.08577391
36,1,682388, 1,0.8131,554232,0.001774129,0.9810,0.11240,604037,20750,15289,1751,10897,210,2405,27049,501138,13202,10293,1434,8682,167,1802,17514,198987,151528,177036,128985,38539,102118,249674,159970,203150,190722,151528,198987,115552,107788,175346,226412,1,0,173477,146665,0.5419,0.5091,0.8,1.0,0,-0.09384158
36,2,679971, 1,0.8131,555853,0.001774129,0.9810,0.08147,624227, 4365,11320,5542, 5771,197,2025,26524,516366, 3349, 7363,4169,4654,165,1563,18224,158545,183958,143689,143428,26654,121197,185372,200703,143922,226802,183958,158545,132313, 85172,213753,164647,1,0,131636,175218,0.4290,0.4024,0.2,1.0,0,-0.09384158
37,1,680474, 1,0.8609,553914,0.001035704,0.9805,0.09310,602565,20733,15084,1749,10976,213,2403,26751,501004,13213,10197,1431,8741,171,1820,17337,200994,149886,179365,128280,38902,101237,252685,157922,205677,189084,149886,200994,114759,109134,173503,229181,1,0,175525,145282,0.5471,0.5140,0.8,0.8,0, 0.00184438
37,2,681885, 1,0.8609,556171,0.001035704,0.9805,0.09135,625699, 4382,11525,5544, 5692,194,2027,26822,516500, 3338, 7459,4172,4595,161,1545,18401,156538,185600,141360,144133,26291,122078,182361,202751,141395,228440,185600,156538,133106, 83826,215596,161878,1,0,129589,176600,0.4232,0.3971,0.0,0.8,0, 0.00184438
38,1,681658, 1,0.9197,557440,0.000702458,0.9729,0.04598,610897,14841,14585,1772,10658,202,2360,26343,508244, 9989, 9929,1436,8518,168,1783,17373,207042,151157,186301,130046,39708,102313,259799,160599,211129,192135,151157,207042,116180,113005,176367,235464,1,1,180796,147250,0.5511,0.5176,0.8,0.8,0,-0.00788741
