draw,district,total_pop,chain,pop_overlap,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_ayo,uss_16_dem_has,gov_16_rep_sun,gov_16_dem_van,gov_18_rep_sun,gov_18_dem_kel,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_sha,uss_20_rep_mes,gov_20_dem_fel,gov_20_rep_sun,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
12,2,689566, 1,0.5340,553102,0.0011636779,0.9778,0.3240,42554,582055,12119, 982,21244,199,3442,26971,28106,478832,8725, 788,16479,161,2550,17461,174169,164598,178244,165867,179313,156253,148980,120889,201941,182716,213765,163849,122371,256778,177242,162240,148980,120889,201114,179359,1,0,163669,183435,0.4715,0.4708,0.2857,1.0000,0,-0.03117
13,1,687343, 1,0.7120,564361,0.0020638404,0.9784,0.2143,19534,618011, 5258,1090,14739,166,2496,26049,13268,514302,4194, 947,11881,128,1920,17721,182187,178100,184281,182712,186703,171165,159754,135163,218104,193840,231509,173650,135970,272142,184390,177325,159754,135163,213211,195195,1,0,178960,193223,0.4808,0.4804,0.2857,0.8571,0, 0.05140
13,2,690186, 1,0.7120,556319,0.0020638404,0.9784,0.4728,39920,582638,13397,1209,20865,222,3420,28515,26532,481449,9664, 983,16108,175,2523,18885,163603,170427,169351,171937,167337,166423,143009,127196,206834,171820,219268,152580,128669,244467,166764,169596,143009,127196,189622,184923,1,0,170108,173167,0.4955,0.4949,0.5714,0.8571,0, 0.05140
14,1,685338, 1,0.7135,562673,0.0049748499,0.9790,0.2154,19552,616005, 5272,1097,14728,165,2477,26042,13279,512624,4201, 958,11874,127,1903,17707,181633,177197,183659,181833,186130,170245,159213,134415,217006,193238,230378,173110,135117,271308,183807,176424,159213,134415,212552,194168,1,0,178027,192614,0.4803,0.4799,0.2857,0.8571,0, 0.05080
14,2,692191, 1,0.7135,558007,0.0049748499,0.9790,0.5154,39902,584644,13383,1202,20876,223,3439,28522,26521,483127,9657, 972,16115,176,2540,18899,164157,171330,169974,172817,167911,167344,143550,127944,207931,172422,220399,153120,129522,245301,167347,170497,143550,127944,190281,185950,1,0,171041,173776,0.4960,0.4954,0.5714,0.8571,0, 0.05080
15,1,685592, 1,0.5461,566179,0.0046060736,0.9755,0.2258,16913,615914, 6626,1316,14657,193,2456,27517,11709,515317,5195,1134,11766,148,1868,19042,169551,186058,173608,190596,173125,182385,152460,143352,225478,179798,239102,159980,144515,257203,172094,186346,152460,143352,198994,203033,1,0,187355,180818,0.5089,0.5085,0.7143,1.0000,0,-0.03108
15,2,691937, 1,0.5461,554501,0.0046060736,0.9755,0.3485,42541,584735,12029, 983,20947,195,3460,27047,28091,480434,8663, 796,16223,155,2575,17564,176239,162469,180025,164054,180915,155204,150304,119007,199459,185862,211675,166250,120124,259406,179059,160576,150304,119007,203839,177086,1,0,161713,185571,0.4657,0.4649,0.2857,1.0000,0,-0.03108
16,1,691474, 1,0.6309,555998,0.0039338555,0.9824,0.3364,42616,583880,11932, 905,22403,177,3402,26159,28100,481548,8603, 723,17371,139,2539,16975,177601,168388,183624,168366,185604,157837,155991,122222,208472,186604,220699,167924,123495,266206,182276,164863,155991,122222,206911,184222,1,0,167068,189079,0.4691,0.4681,0.2857,1.0000,0,-0.02646
16,2,686055, 1,0.6309,564682,0.0039338555,0.9824,0.2574,16838,616769, 6723,1394,13201,211,2514,28405,11700,514203,5255,1207,10618,164,1904,19631,168190,180139,170009,186284,168436,179752,146773,140137,216466,179056,230078,158305,141144,250403,168878,182058,146773,140137,195922,195896,1,0,182000,177310,0.5065,0.5064,0.7143,1.0000,0,-0.02646
17,1,687358, 1,0.7120,564360,0.0020420623,0.9772,0.2074,19530,618042, 5248,1090,14732,166,2496,26054,13263,514317,4187, 948,11875,128,1920,17722,182337,177899,184357,182558,186770,171027,159793,135024,217911,193994,231355,173753,135834,272248,184488,177161,159793,135024,213332,195034,1,0,178801,193323,0.4805,0.4801,0.2857,0.8571,0, 0.05137
