draw,district,total_pop,chain,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_sch,uss_16_rep_car,uss_18_dem_hir,uss_18_rep_cur,gov_18_dem_ige,gov_18_rep_tup,pre_20_dem_bid,pre_20_rep_tru,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
3959,1,729188, 2,565562,0.0021336232,0.9840,0.37062,74530,121002,16162, 816,288112,77006,2192,149368,49197,101467,12939, 710,244472,54249,1712,100816,111319,63258,132566,44006,114856,55818,101161,65548,152306,100129,53628,121941,60674,108007,100129,152306,1,1,122442,65751,0.6506,0.6543,1,2,0,-0.1179
3959,2,726083, 2,590343,0.0021336232,0.9840,0.07158,64393,193363, 5715,1505,243446,72048,3091,142522,43910,174157, 5120,1290,213796,50969,2512, 98589,155577,65588,174043,48641,161460,56213,143773,66178,213822, 96735,57105,164807,61190,152615, 96735,213822,1,1,169735,66673,0.7180,0.7200,1,2,0,-0.1179
3960,1,729297, 2,586572,0.0022834235,0.9768,0.15802,61531,137893,12376, 816,299961,73720,2402,140598,42336,120153,10334, 728,260482,52683,1895, 97961,131189,64493,150098,47249,131402,57302,117351,66206,178740, 95875,55868,140642,61748,124375, 95875,178740,1,0,141758,66225,0.6816,0.6835,1,2,0,-0.1179
3960,2,725974, 2,569333,0.0022834235,0.9768,0.06585,77392,176472, 9501,1505,231597,75334,2881,151292,50771,155471, 7725,1272,197786,52535,2329,101444,135707,64353,156510,45398,144914,54729,127582,65520,187388,100989,54864,146105,60116,136247,100989,187388,1,0,150419,66199,0.6944,0.6980,1,2,0,-0.1179
3961,1,724037, 2,564152,0.0049454706,0.9760,0.30136,72609,124806,14073, 773,284137,73039,2230,152370,48012,106132,11425, 667,241917,51728,1740,102531,117663,66571,139552,47193,120529,59108,106796,68673,160089,101832,56877,128606,63884,113663,101832,160089,1,1,128926,68674,0.6525,0.6554,1,2,0,-0.1179
3961,2,731234, 2,591753,0.0049454706,0.9760,0.06929,66314,189559, 7804,1548,247421,76015,3053,139520,45095,169492, 6634,1333,216351,53490,2484, 96874,149232,62276,167056,45454,155787,52924,138138,63054,206039, 95032,53856,158141,57981,146959, 95032,206039,1,1,163251,63750,0.7192,0.7218,1,2,0,-0.1179
3962,1,726550, 2,564623,0.0014918184,0.9756,0.33631,73890,118898,15209, 792,287917,77523,2171,150150,48860,100354,12288, 691,244669,54783,1701,101277,111463,63455,132854,44201,115075,56029,101448,65729,152586, 99640,53824,122157,60870,108261, 99640,152586,1,1,122686,65810,0.6509,0.6544,1,2,0,-0.1179
3962,2,728721, 2,591282,0.0014918184,0.9756,0.07060,65033,195467, 6668,1529,243641,71531,3112,141740,44247,175270, 5771,1309,213599,50435,2523, 98128,155433,65392,173754,48446,161241,56003,143485,65998,213542, 97224,56909,164590,60994,152361, 97224,213542,1,1,169491,66614,0.7179,0.7200,1,2,0,-0.1179
3963,1,725967, 2,582204,0.0022930437,0.9776,0.20936,64346,142158,13810, 885,292358,71475,2495,138440,44147,123160,11244, 782,253983,50880,1984, 96024,126690,62120,144687,45659,126769,55141,113367,63391,172610, 91768,53888,135686,59260,120068, 91768,172610,1,0,136825,63616,0.6826,0.6845,1,2,0,-0.1179
3963,2,729304, 2,573701,0.0022930437,0.9776,0.06736,74577,172207, 8067,1436,239200,77579,2788,153450,48960,152464, 6815,1218,204285,54338,2240,103381,140206,66727,161922,46988,149547,56891,131566,68336,193518,105096,56845,151061,62604,140554,105096,193518,1,0,155353,68808,0.6930,0.6967,1,2,0,-0.1179
