draw,district,total_pop,chain,pop_overlap,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,gov_16_rep_gia,gov_16_dem_bul,atg_16_rep_fox,atg_16_dem_jen,sos_16_rep_sta,sos_16_dem_lin,uss_18_rep_ros,uss_18_dem_tes,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_dai,uss_20_dem_bul,gov_20_rep_gia,gov_20_dem_coo,atg_20_rep_knu,atg_20_dem_gra,sos_20_rep_jac,sos_20_dem_ben,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
3253,1,543037, 2,0.5832,425719,0.0017053656,0.9791,0.2684,20502,447011,2710,36235,4221,437,2263,29658,13941,360542,2028,24489,3460,354,1700,19205,136269, 93010,113325,133171,164643,81781,135474,106079,114851,131928,166780,127356,161424,141009,159547,130234,168891,128682,171641,124522,137428,103510,114851,131928,165657,130361,1,0,119777,149284,0.4452,0.4453,0.2,0.3,0,0.2085
3253,2,541188, 2,0.5832,424404,0.0017053656,0.9791,0.1718,24697,454307,2367,28357,3856,402,2111,25091,15967,367011,1753,18228,3206,288,1626,16325,142969, 84695,122787,122759,168120,77186,141996, 98780,121111,121945,176819,117427,171746,131450,168996,120623,179428,118339,181294,115093,143968, 95857,121111,121945,175657,120586,1,0,110829,157526,0.4130,0.4133,0.1,0.3,0,0.2085
3254,1,542781, 2,0.7901,430409,0.0012331389,0.9859,0.2209,20428,460295,1864,26110,3810,388,2332,27554,13947,373637,1358,17977,3108,304,1815,18263,139613, 97933,116398,138656,167306,87751,138461,111179,119207,137934,173730,134783,167769,149311,165495,138621,176299,136025,178849,131915,140445,108880,119207,137934,172429,138131,1,0,126411,154313,0.4503,0.4505,0.2,0.2,0,0.2543
3254,2,541444, 2,0.7901,419714,0.0012331389,0.9859,0.3819,24771,441023,3213,38482,4267,451,2042,27195,15961,353916,2423,24740,3558,338,1511,17267,139625, 79772,119713,117274,165458,71217,139009, 93679,116754,115938,169868,110000,165400,123148,163048,112236,172020,110997,174086,107700,140950, 90487,116754,115938,168885,112816,1,0,104196,152498,0.4059,0.4062,0.0,0.2,0,0.2543
3255,1,541460, 2,0.9643,432967,0.0012036247,0.9869,0.2234,22118,469018,1954,14002,4443,390,2449,27086,15380,382036,1443,10031,3659,300,1909,18209,134923, 99667,116136,136444,160347,91803,137295,108892,117056,139439,170515,141543,166062,155050,163882,143631,174114,140940,176329,137612,137176,109201,117056,139439,170180,143755,1,0,129502,151665,0.4606,0.4604,0.2,0.2,0,0.2549
3255,2,542765, 2,0.9643,417156,0.0012036247,0.9869,0.4796,23081,432300,3123,50590,3634,449,1925,27663,14528,345517,2338,32686,3007,342,1417,17321,144314, 78039,119976,119487,172417,67165,140175, 95967,118905,114433,173084,103240,167107,117409,164662,107227,174204,106081,176606,102003,144220, 90165,118905,114433,171133,107192,1,0,101104,155145,0.3946,0.3952,0.0,0.2,0,0.2549
3256,1,543648, 2,0.6815,429190,0.0028324379,0.9878,0.3089,20945,455680,2706,27647,4328,457,2451,29434,14261,368696,2043,19172,3556,366,1868,19228,137337, 94947,114207,135022,165944,83492,137015,107253,117106,133479,169896,130461,164507,144215,162581,133250,172297,131526,175038,127365,138626,105178,117106,133479,168864,133364,1,0,122101,151593,0.4461,0.4463,0.2,0.3,0,0.2079
3256,2,540577, 2,0.6815,420933,0.0028324379,0.9878,0.3498,24254,445638,2371,36945,3749,382,1923,25315,15647,358857,1738,23545,3110,276,1458,16302,141900, 82759,121905,120908,166820,75476,140454, 97605,118855,120394,173703,114322,168662,128244,165963,117608,176022,115495,177897,112250,142769, 94189,118855,120394,172449,117583,1,0,108505,155218,0.4114,0.4118,0.1,0.3,0,0.2079
3257,1,543589, 2,0.6135,426850,0.0027236044,0.9826,0.2804,20716,450953,2692,32426,4275,445,2282,29800,14045,363797,2027,22054,3510,360,1728,19329,136129, 94194,113178,134456,164897,82741,135625,107011,115331,133031,167838,129178,162538,142877,160481,132093,170191,130378,173035,126116,137458,104600,115331,133031,166817,132129,1,0,121207,149924,0.4470,0.4472,0.2,0.3,0,0.2083
3257,2,540636, 2,0.6135,423273,0.0027236044,0.9826,0.2350,24483,450365,2385,32166,3802,394,2092,24949,15863,363756,1754,20663,3156,282,1598,16201,143108, 83512,122934,121474,167866,76226,141845, 97847,120630,120842,175761,115605,170631,129582,168062,118765,178128,116643,179900,113499,143938, 94766,120630,120842,174496,118819,1,0,109399,156886,0.4108,0.4111,0.1,0.3,0,0.2083
